author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Самолет;developer;https://www.cian.ru/sale/flat/307010612/;Москва;sale;flat;16;16;1;33.2;9235882.0;;;к2.2;Коммунарка;Ольховый Квартал ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307009620/;Москва;sale;flat;1;13;1;40.31;9229861.0;Молжаниновский;Северный ао;к6;Новоподрезково;Молжаниново ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307016950/;Москва;sale;flat;14;14;1;44.42;9207111.0;;;к20;Щербинка;Остафьево ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307017318/;Москва;sale;flat;13;14;1;36.38;9200932.0;;;к17;Щербинка;Остафьево ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307011620/;Москва;sale;flat;4;23;1;35.69;9227429.0;;;к2.3;Румянцево;Тропарево Парк
Самолет;developer;https://www.cian.ru/sale/flat/307017830/;Москва;sale;flat;6;9;1;38.93;9228590.0;;;к25;Рассказовка;Новое Внуково ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307017954/;Москва;sale;flat;6;9;1;38.93;9236726.0;;;к28;Рассказовка;Новое Внуково ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307017999/;Москва;sale;flat;8;9;1;44.47;9231527.0;;;к32;Рассказовка;Новое Внуково ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307812292/;Москва;sale;flat;4;10;1;37.12;9220133.0;;;к18;Щербинка;Остафьево ЖК
ID 94540427;homeowner;https://www.cian.ru/sale/flat/277085468/;Москва;sale;flat;7;19;1;38.2;9200000.0;Люблино;Ставропольский проезд;3;Люблино;
Концерн КРОСТ;developer;https://www.cian.ru/sale/flat/291725890/;Москва;sale;flat;6;28;1;30.6;9210600.0;Отрадное;Отрадная ;4А;Отрадное;Малевич
Кремлёвские Ключи;real_estate_agent;https://www.cian.ru/sale/flat/306950634/;Москва;sale;flat;16;17;1;37.9;9300000.0;Некрасовка;Покровская ;17к3;Некрасовка;Некрасовка
3SGroup;developer;https://www.cian.ru/sale/flat/305952758/;Москва;sale;flat;3;17;1;36.9;9308040.0;;;;Корниловская;FOREVILLE
А101;developer;https://www.cian.ru/sale/flat/306743833/;Москва;sale;flat;10;11;1;37.7;9281128.0;;;;Новомосковская;Дзен-кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306748494/;Москва;sale;flat;2;22;1;43.5;9316995.0;;;5.1;Бунинская аллея;Бунинские Кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306748473/;Москва;sale;flat;21;22;1;33.4;9328653.0;;;5.1;Бунинская аллея;Бунинские Кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306741759/;Москва;sale;flat;14;15;1;38.4;9272410.0;;;;Новомосковская;Деснаречье ЖК
ПИК;developer;https://www.cian.ru/sale/flat/304888869/;Москва;sale;flat;2;25;1;38.9;9340901.0;Крюково;Зеленоград;6.4;Зеленоград — Крюково;Зелёный парк
Аквилон;developer;https://www.cian.ru/sale/flat/306728112/;Москва;sale;flat;2;23;1;40.3;9338397.0;Отрадное;Сигнальный проезд;12;Владыкино;Akvilon Signal
А101;developer;https://www.cian.ru/sale/flat/306744207/;Москва;sale;flat;2;9;1;34.0;9292064.0;;;6.1.1;Новомосковская;Дзен-кварталы ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307187938/;Москва;sale;flat;13;16;1;38.3;9265138.0;;;4-5;Филатов Луг;Цветочные Поляны
Самолет;developer;https://www.cian.ru/sale/flat/307011330/;Москва;sale;flat;11;16;1;39.1;9262548.0;;;к6;Филатов Луг;Цветочные Поляны
Самолет;developer;https://www.cian.ru/sale/flat/307322495/;Москва;sale;flat;7;7;1;35.84;9344416.0;Молжаниновский;Северный ао;к6;Новоподрезково;Молжаниново ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307011618/;Москва;sale;flat;2;23;1;37.16;9343675.0;;;к2.3;Румянцево;Тропарево Парк
Самолет;developer;https://www.cian.ru/sale/flat/307021902/;Москва;sale;flat;6;16;1;27.06;9286694.0;Бирюлево Восточное;;к2;Орехово;Квартал Герцена ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307021646/;Москва;sale;flat;13;13;1;36.02;9347781.0;;;к9;Щербинка;Алхимово ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307018021/;Москва;sale;flat;10;10;1;35.06;9347526.0;;;к22;Рассказовка;Новое Внуково ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307017488/;Москва;sale;flat;4;14;1;45.06;9385322.0;;;к22;Щербинка;Остафьево ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307011617/;Москва;sale;flat;18;23;1;34.02;9376826.0;;;к2.3;Румянцево;Тропарево Парк
Самолет;developer;https://www.cian.ru/sale/flat/307010873/;Москва;sale;flat;14;14;1;34.74;9436045.0;;;14.1;Летово;Эко Бунино ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307822581/;Москва;sale;flat;9;15;1;33.6;9405809.0;;;15;Летово;Эко Бунино ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307009472/;Москва;sale;flat;2;13;1;34.08;9373806.0;Молжаниновский;Северный ао;к4;Новоподрезково;Молжаниново ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307021901/;Москва;sale;flat;6;16;1;27.54;9400146.0;Бирюлево Восточное;;к2;Орехово;Квартал Герцена ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307021616/;Москва;sale;flat;10;15;1;37.25;9395164.0;;;15;Щербинка;Алхимово ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307020032/;Москва;sale;flat;10;12;1;44.36;9429206.0;;;9;Рассказовка;Квартал Западный ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307018039/;Москва;sale;flat;7;10;1;36.65;9384799.0;;;к20;Рассказовка;Новое Внуково ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307017729/;Москва;sale;flat;9;9;1;42.65;9371399.0;;;к31;Рассказовка;Новое Внуково ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307017726/;Москва;sale;flat;8;9;1;48.08;9388005.0;;;к31;Рассказовка;Новое Внуково ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307017643/;Москва;sale;flat;13;14;1;32.21;9404906.0;;;к16;Щербинка;Остафьево ЖК
ГОРАКС;developer;https://www.cian.ru/sale/flat/306031562/;Москва;sale;flat;2;16;1;36.5;9412337.0;;;;Коммунарка;Смарт Гарден ЖК
ID 392321;unknown;https://www.cian.ru/sale/flat/307826529/;Москва;sale;flat;3;17;1;37.5;9400000.0;Марьино; Маршала Голованова;13;Марьино;
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/304057091/;Москва;sale;flat;1;19;1;39.9;9409759.0;;;;Филатов Луг;Первый Московский ЖК
Аквилон;developer;https://www.cian.ru/sale/flat/304055239/;Москва;sale;flat;2;23;1;39.3;9426184.0;Отрадное;Сигнальный проезд;12;Владыкино;Akvilon Signal
Самолет Плюс Москва ЦАО;real_estate_agent;https://www.cian.ru/sale/flat/294828239/;Москва;sale;flat;4;9;1;30.0;9500000.0;Лефортово;Шепелюгинская ;7/14;Авиамоторная;
Slava Realty;real_estate_agent;https://www.cian.ru/sale/flat/300381810/;Москва;sale;flat;7;21;1;18.4;9500000.0;Войковский;Выборгская ;9/1;Водный стадион;Невский
ЛэндЛ;real_estate_agent;https://www.cian.ru/sale/flat/302755193/;Москва;sale;flat;2;12;1;38.7;9500000.0;Лианозово;Абрамцевская ;2;Алтуфьево;
МОЯ СТОЛИЦА;real_estate_agent;https://www.cian.ru/sale/flat/301704043/;Москва;sale;flat;7;9;1;32.9;9500000.0;Выхино-Жулебино;Ташкентская ;16К1;Юго-Восточная;
Концерн КРОСТ;developer;https://www.cian.ru/sale/flat/291725824/;Москва;sale;flat;4;28;1;34.4;9460000.0;Отрадное;Отрадная ;4А;Отрадное;Малевич
А101;developer;https://www.cian.ru/sale/flat/306746691/;Москва;sale;flat;7;9;1;36.6;9511265.0;;;6.1;Улица Горчакова;Бунинские Кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306744118/;Москва;sale;flat;13;21;1;33.5;9517903.0;;;4.2;Новомосковская;Дзен-кварталы ЖК
1-й ДСК;developer;https://www.cian.ru/sale/flat/308023561/;Москва;sale;flat;3;18;1;29.2;9548400.0;;;;;1-й Ясеневский
ПИК;developer;https://www.cian.ru/sale/flat/307787622/;Москва;sale;flat;2;24;1;32.2;9479680.0;Текстильщики;Юго-Восточный ао;;Стахановская;Волжский Парк ЖК
А101;developer;https://www.cian.ru/sale/flat/306747966/;Москва;sale;flat;9;9;1;38.1;9544545.0;;;5.1;Бунинская аллея;Бунинские Кварталы ЖК
ПИК;developer;https://www.cian.ru/sale/flat/306979987/;Москва;sale;flat;5;24;1;37.5;9524362.0;Тимирязевский;к3.6;к3.6;Окружная;Большая Академическая 85 ЖК
ПИК;developer;https://www.cian.ru/sale/flat/307787433/;Москва;sale;flat;4;14;1;38.3;9513834.0;Тимирязевский;к3.5;к3.5;Окружная;Большая Академическая 85 ЖК
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/308015825/;Москва;sale;flat;4;17;1;33.4;9453908.0;;;;Мичуринец;Переделкино Ближнее Город-парк
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/304056355/;Москва;sale;flat;8;20;1;33.6;9534925.0;;;к2;Новопеределкино;Город-парк Первый Московский
Самолет;developer;https://www.cian.ru/sale/flat/307280340/;Москва;sale;flat;11;12;1;35.63;9498705.0;;;к13;Щербинка;Алхимово ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307016922/;Москва;sale;flat;2;14;1;47.47;9498911.0;;;к20;Щербинка;Остафьево ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307016923/;Москва;sale;flat;8;14;1;48.11;9505914.0;;;к20;Щербинка;Остафьево ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307017704/;Москва;sale;flat;13;14;1;32.7;9482231.0;;;к15;Щербинка;Остафьево ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307011526/;Москва;sale;flat;6;9;1;44.9;9523136.0;; Золотошвейная;2;Филатов Луг;Цветочные Поляны
Самолет;developer;https://www.cian.ru/sale/flat/307467044/;Москва;sale;flat;10;12;1;41.68;9477907.0;;;13;Летово;Эко Бунино ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307010668/;Москва;sale;flat;1;16;1;33.6;9524290.0;;;к2.1;Коммунарка;Ольховый Квартал ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307017755/;Москва;sale;flat;1;5;1;48.37;9497982.0;;;к30;Рассказовка;Новое Внуково ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307321691/;Москва;sale;flat;5;9;1;35.93;9540491.0;;;к22;Рассказовка;Новое Внуково ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307017807/;Москва;sale;flat;4;8;1;37.12;9502950.0;;;к27;Рассказовка;Новое Внуково ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307017164/;Москва;sale;flat;11;14;1;45.26;9536693.0;;;к19;Щербинка;Остафьево ЖК
;;https://www.cian.ru/sale/flat/299212872/;Москва;sale;flat;9;18;1;31.8;9540000.0;Останкинский;Березовая аллея;19к3;Ботанический сад;Апарт-комплекс Легендарный квартал
ID 116056234;developer;https://www.cian.ru/sale/flat/305427425/;Москва;sale;flat;3;23;1;32.8;9503505.0;Куркино;Куркинское шоссе;15С3;Химки;Куркино 15
ID 1723;realtor;https://www.cian.ru/sale/flat/307662867/;Москва;sale;flat;7;17;1;38.0;9550000.0;; Фитаревская;19к1;Новомосковская;
СМАРЕНТ;real_estate_agent;https://www.cian.ru/sale/flat/304430051/;Москва;sale;flat;6;22;1;39.9;9600000.0;; Картмазовские Пруды;2к3;Филатов Луг;
СМАРЕНТ;real_estate_agent;https://www.cian.ru/sale/flat/303687841/;Москва;sale;flat;1;10;1;39.5;9600000.0;; Николо-Хованская;14;Новомосковская;Николин Парк
ПИК;developer;https://www.cian.ru/sale/flat/306938938/;Москва;sale;flat;3;24;1;32.6;9609436.0;Текстильщики;Юго-Восточный ао;;Стахановская;Волжский Парк ЖК
ГОРАКС;developer;https://www.cian.ru/sale/flat/306031707/;Москва;sale;flat;3;16;1;34.44;9642070.0;;;2;Коммунарка;Смарт Гарден ЖК
ГОРАКС;developer;https://www.cian.ru/sale/flat/306031739/;Москва;sale;flat;6;16;1;36.15;9640021.0;;;2;Коммунарка;Смарт Гарден ЖК
ГОРАКС;developer;https://www.cian.ru/sale/flat/306031564/;Москва;sale;flat;2;16;1;34.79;9631929.0;;;;Коммунарка;Смарт Гарден ЖК
3SGroup;developer;https://www.cian.ru/sale/flat/300236429/;Москва;sale;flat;7;17;1;33.7;9620425.0;;;;Корниловская;FOREVILLE
А101;developer;https://www.cian.ru/sale/flat/306746682/;Москва;sale;flat;4;9;1;35.4;9606770.0;;;6.1;Улица Горчакова;Бунинские Кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306747037/;Москва;sale;flat;12;17;1;33.4;9647306.0;;;к3.4;Бунинская аллея;Бунинские Кварталы ЖК
ПИК;developer;https://www.cian.ru/sale/flat/307732356/;Москва;sale;flat;18;32;1;34.8;9572784.0;Западное Дегунино;Северный ао;;Речной вокзал;Бусиновский Парк ЖК
ПИК;developer;https://www.cian.ru/sale/flat/307465707/;Москва;sale;flat;22;30;1;34.4;9592508.0;Гольяново;;1.3;Черкизовская;2-й Иртышский ЖК
ПИК;developer;https://www.cian.ru/sale/flat/297467964/;Москва;sale;flat;2;25;1;44.2;9553034.0;Крюково;Зеленоград;6.2;Зеленоград — Крюково;Зелёный парк
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/304056963/;Москва;sale;flat;9;19;1;36.3;9720070.0;;;к2;Филатов Луг;Город-парк Первый Московский
ПИК;developer;https://www.cian.ru/sale/flat/306207890/;Москва;sale;flat;12;20;1;32.05;9712688.0;Западное Дегунино;Северный ао;1.3;Речной вокзал;Бусиновский Парк ЖК
А101;developer;https://www.cian.ru/sale/flat/306744209/;Москва;sale;flat;2;9;1;36.4;9686331.0;;;6.1.1;Новомосковская;Дзен-кварталы ЖК
СтройИнновация;developer;https://www.cian.ru/sale/flat/302129107/;Москва;sale;flat;2;14;1;29.7;9664900.0;Матушкино;Зеленоград;;Зеленоград — Крюково;Зеленоград Ривьера ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307880150/;Москва;sale;flat;6;14;1;37.7;9732744.0;;проспект Куприна;30к9;Летово;Эко Бунино
Самолет;developer;https://www.cian.ru/sale/flat/307010657/;Москва;sale;flat;8;16;1;35.5;9743006.0;;;к2.1;Коммунарка;Ольховый Квартал ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307021589/;Москва;sale;flat;15;15;1;44.89;9655304.0;;;к10;Щербинка;Алхимово ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307016939/;Москва;sale;flat;4;14;1;45.59;9732325.0;;;к20;Щербинка;Остафьево ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307017935/;Москва;sale;flat;3;10;1;34.4;9722317.0;;;к19;Рассказовка;Новое Внуково ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307018038/;Москва;sale;flat;9;9;1;34.38;9738410.0;;;к20;Рассказовка;Новое Внуково ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307017902/;Москва;sale;flat;8;9;1;36.38;9670488.0;;;к23;Рассказовка;Новое Внуково ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307017155/;Москва;sale;flat;9;14;1;43.86;9743928.0;;;к19;Щербинка;Остафьево ЖК
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/307207384/;Москва;sale;flat;14;20;1;30.6;9662241.0;;;к2;Новопеределкино;Город-парк Первый Московский
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/304058147/;Москва;sale;flat;19;20;1;41.3;9724398.0;;;3;Филатов Луг;Город-парк Первый Московский
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/304057774/;Москва;sale;flat;19;20;1;36.1;9686207.0;;;3;Филатов Луг;Город-парк Первый Московский
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/307207783/;Москва;sale;flat;14;19;1;37.6;9743081.0;;;;;Город-парк Первый Московский
;;https://www.cian.ru/sale/flat/303672406/;Москва;sale;flat;10;25;1;36.3;9720730.0;Некрасовка; Липчанского;10;Некрасовка;Некрасовка
PRO ОБМЕН;real_estate_agent;https://www.cian.ru/sale/flat/305059740/;Москва;sale;flat;5;12;1;32.3;9800000.0;Кузьминки;Окская ;18К2;Кузьминки;
Бест офис на Таганской;real_estate_agent;https://www.cian.ru/sale/flat/307722328/;Москва;sale;flat;15;25;1;39.0;9799000.0;Некрасовка;Рождественская ;33;Некрасовка;Некрасовка
ПИК;developer;https://www.cian.ru/sale/flat/303646744/;Москва;sale;flat;9;30;1;37.5;9849750.0;Гольяново;;1.3;Черкизовская;2-й Иртышский ЖК
ПИК;developer;https://www.cian.ru/sale/flat/303405717/;Москва;sale;flat;28;30;1;33.3;9769820.0;Гольяново;;1.3;Черкизовская;2-й Иртышский ЖК
ПИК;developer;https://www.cian.ru/sale/flat/305377134/;Москва;sale;flat;7;30;1;34.5;9829878.0;Гольяново;;1.3;Черкизовская;2-й Иртышский ЖК
Наталья Никитина;realtor;https://www.cian.ru/sale/flat/307617371/;Москва;sale;flat;6;17;1;39.0;9800000.0;Южное Бутово;Скобелевская ;20;Улица Скобелевская;
ПИК;developer;https://www.cian.ru/sale/flat/306208713/;Москва;sale;flat;25;25;1;43.3;9833689.0;Крюково;Зеленоград;6.4;Зеленоград — Крюково;Зелёный парк
Аквилон;developer;https://www.cian.ru/sale/flat/304055258/;Москва;sale;flat;2;23;1;37.6;9813412.0;Отрадное;Сигнальный проезд;12;Владыкино;Akvilon Signal
ПИК;developer;https://www.cian.ru/sale/flat/305377699/;Москва;sale;flat;16;17;1;32.6;9775436.0;Люблино;14.2;14.2;Братиславская;Люблинский парк ЖК
А101;developer;https://www.cian.ru/sale/flat/306748500/;Москва;sale;flat;2;22;1;49.9;9807266.0;;;5.1;Бунинская аллея;Бунинские Кварталы ЖК
ПИК;developer;https://www.cian.ru/sale/flat/306208145/;Москва;sale;flat;12;24;1;34.4;9836198.0;Западное Дегунино;проезд Проектируемый № 7536;;Речной вокзал;Бусиновский парк
ПИК;developer;https://www.cian.ru/sale/flat/306203260/;Москва;sale;flat;11;24;1;36.4;9848820.0;Западное Дегунино;проезд Проектируемый № 7536;;Речной вокзал;Бусиновский парк
Рассказовка;developer;https://www.cian.ru/sale/flat/307809483/;Москва;sale;flat;4;19;1;33.28;9841861.0;;;;Рассказовка;Городские Истории ЖК
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/307207412/;Москва;sale;flat;19;20;1;37.8;9793137.0;;;к2;Новопеределкино;Город-парк Первый Московский
Самолет;developer;https://www.cian.ru/sale/flat/307371549/;Москва;sale;flat;18;23;1;40.7;9755933.0;;;к2.3;Румянцево;Тропарево Парк
Самолет;developer;https://www.cian.ru/sale/flat/307011328/;Москва;sale;flat;8;16;1;40.3;9792126.0;;;к6;Филатов Луг;Цветочные Поляны
Самолет;developer;https://www.cian.ru/sale/flat/307020080/;Москва;sale;flat;3;7;1;36.46;9795234.0;;;к1;Рассказовка;Квартал Западный ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307020101/;Москва;sale;flat;5;6;1;35.3;9798876.0;;;3;Рассказовка;Квартал Западный ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307017489/;Москва;sale;flat;12;14;1;47.47;9806258.0;;;к22;Щербинка;Остафьево ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307010868/;Москва;sale;flat;2;14;1;37.42;9801214.0;;;14.1;Летово;Эко Бунино ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307327027/;Москва;sale;flat;8;16;1;33.2;9759471.0;;;к2.1;Коммунарка;Ольховый Квартал ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307009339/;Москва;sale;flat;8;16;1;32.36;9841517.0;Молжаниновский;Северный ао;к5;Новоподрезково;Молжаниново ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307021554/;Москва;sale;flat;10;10;1;40.4;9832970.0;;;к13;Щербинка;Алхимово ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307021610/;Москва;sale;flat;4;9;1;43.27;9755068.0;;;15;Щербинка;Алхимово ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307326909/;Москва;sale;flat;2;5;1;39.3;9813318.0;;;3;Рассказовка;Квартал Западный ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307018037/;Москва;sale;flat;3;9;1;34.87;9829675.0;;;к20;Рассказовка;Новое Внуково ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307017803/;Москва;sale;flat;4;8;1;40.79;9751847.0;;;к27;Рассказовка;Новое Внуково ЖК
Елена Монахова;realtor;https://www.cian.ru/sale/flat/307950566/;Москва;sale;flat;2;5;1;35.0;9800000.0;Соколиная гора;Зверинецкая ;12;Семёновская;Test Cian Audience JK
ГОРАКС;developer;https://www.cian.ru/sale/flat/306031583/;Москва;sale;flat;3;16;1;34.28;9788908.0;;;;Коммунарка;Смарт Гарден ЖК
ID 116162816;homeowner;https://www.cian.ru/sale/flat/301616633/;Москва;sale;flat;5;17;1;38.2;9800000.0;Некрасовка; Ухтомского Ополчения;3;Некрасовка;Некрасовка-Парк
;;https://www.cian.ru/sale/flat/294443498/;Москва;sale;flat;24;25;1;39.9;9824440.0;Некрасовка; Липчанского;10;Некрасовка;Некрасовка
СМАРЕНТ;real_estate_agent;https://www.cian.ru/sale/flat/307334649/;Москва;sale;flat;11;12;1;34.8;9900000.0;Северное Измайлово;Щелковское шоссе;32;Щёлковская;
ГОРАКС;developer;https://www.cian.ru/sale/flat/306031558/;Москва;sale;flat;2;16;1;35.73;9891612.0;;;;Коммунарка;Смарт Гарден ЖК
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/307207604/;Москва;sale;flat;1;19;1;46.6;9910821.0;;;;Филатов Луг;Первый Московский ЖК
А101;developer;https://www.cian.ru/sale/flat/306743817/;Москва;sale;flat;8;8;1;35.5;9943142.0;;;;Новомосковская;Дзен-кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306743936/;Москва;sale;flat;3;9;1;37.8;9918906.0;;;1.4;Новомосковская;Дзен-кварталы ЖК
ПИК;developer;https://www.cian.ru/sale/flat/306206672/;Москва;sale;flat;3;32;1;36.6;9939974.0;Западное Дегунино;Северный ао;;Речной вокзал;Бусиновский Парк ЖК
ПИК;developer;https://www.cian.ru/sale/flat/307597555/;Москва;sale;flat;31;32;1;36.4;9872262.0;Западное Дегунино;Северный ао;;Речной вокзал;Бусиновский Парк ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307018081/;Москва;sale;flat;10;10;1;34.96;9933900.0;;;к17;Рассказовка;Новое Внуково ЖК
Илья Бабайцев;realtor;https://www.cian.ru/sale/flat/305843951/;Москва;sale;flat;10;14;1;33.2;9900000.0;Сосенское поселение;проспект Куприна;1к2;;Скандинавия
Концерн КРОСТ;developer;https://www.cian.ru/sale/flat/306784570/;Москва;sale;flat;13;21;1;35.7;9924600.0;;;;Коммунарка;Новая Звезда ЖК
;;https://www.cian.ru/sale/flat/294904316/;Москва;sale;flat;15;18;1;32.9;9886450.0;Останкинский;Березовая аллея;19к1;Ботанический сад;Апарт-комплекс Легендарный квартал
ОГРК;real_estate_agent;https://www.cian.ru/sale/flat/305340074/;Москва;sale;flat;11;22;1;38.7;9950000.0;Силино;Зеленоград;к1003;Зеленоград — Крюково;
Century 21 Level;real_estate_agent;https://www.cian.ru/sale/flat/307482485/;Москва;sale;flat;7;9;1;34.0;9950000.0;Чертаново Центральное;Днепропетровская ;5К5;Южная;
Ордер;real_estate_agent;https://www.cian.ru/sale/flat/298431321/;Москва;sale;flat;2;17;1;36.2;9950000.0;Бирюлево Восточное;Загорьевская ;21к1;Домодедовская;
Ордер;real_estate_agent;https://www.cian.ru/sale/flat/298373961/;Москва;sale;flat;4;9;1;32.6;9950000.0;Отрадное;Северный бульвар;8;Отрадное;
На Петровке;real_estate_agent;https://www.cian.ru/sale/flat/302955097/;Москва;sale;flat;3;12;1;39.0;9999000.0;Преображенское;2-я Пугачевская ;9К1;Преображенская площадь;
ПИК;developer;https://www.cian.ru/sale/flat/305377456/;Москва;sale;flat;5;30;1;37.4;9954234.0;Гольяново;;1.3;Черкизовская;2-й Иртышский ЖК
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/304058463/;Москва;sale;flat;2;17;1;35.8;10041576.0;;;;Мичуринец;Переделкино Ближнее Город-парк
А101;developer;https://www.cian.ru/sale/flat/306743826/;Москва;sale;flat;7;11;1;36.7;10026971.0;;;;Новомосковская;Дзен-кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306738545/;Москва;sale;flat;6;17;1;33.7;10046934.0;;;25.2;Бунинская аллея;Скандинавия ЖК
;;https://www.cian.ru/sale/flat/283056614/;Москва;sale;flat;2;25;1;38.41;10049977.0;Люблино;Юго-Восточный ао;к8;Братиславская;Светлый Мир Станция Л ЖК
Аквилон;developer;https://www.cian.ru/sale/flat/304054402/;Москва;sale;flat;2;23;1;42.7;10006437.0;Отрадное;Сигнальный проезд;12;Владыкино;Akvilon Signal
ПИК;developer;https://www.cian.ru/sale/flat/306255107/;Москва;sale;flat;27;32;1;35.9;10049486.0;Митино;Северо-Западный ао;2.1;Пятницкое шоссе;Митинский Лес ЖК
ПИК;developer;https://www.cian.ru/sale/flat/306255214/;Москва;sale;flat;18;19;1;32.2;10019931.0;Митино;Северо-Западный ао;2.4;Пятницкое шоссе;Митинский Лес ЖК
ПИК;developer;https://www.cian.ru/sale/flat/306938898/;Москва;sale;flat;4;24;1;34.1;10010805.0;Текстильщики;Юго-Восточный ао;;Стахановская;Волжский Парк ЖК
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/304058034/;Москва;sale;flat;5;20;1;44.5;10045660.0;;;3;Филатов Луг;Город-парк Первый Московский
ПИК;developer;https://www.cian.ru/sale/flat/305378432/;Москва;sale;flat;18;33;1;32.4;10044388.0;Люблино;14.1;14.1;Братиславская;Люблинский парк ЖК
ПИК;developer;https://www.cian.ru/sale/flat/305377721/;Москва;sale;flat;17;17;1;32.7;9974481.0;Люблино;14.6;14.6;Братиславская;Люблинский парк ЖК
А101;developer;https://www.cian.ru/sale/flat/306748402/;Москва;sale;flat;2;19;1;48.0;10026115.0;;;5.1;Бунинская аллея;Бунинские Кварталы ЖК
ПИК;developer;https://www.cian.ru/sale/flat/306208127/;Москва;sale;flat;6;24;1;35.2;10000179.0;Западное Дегунино;проезд Проектируемый № 7536;;Речной вокзал;Бусиновский парк
Самолет;developer;https://www.cian.ru/sale/flat/307011648/;Москва;sale;flat;13;16;1;34.3;10023638.0;;;5с1;Румянцево;Тропарево Парк
Самолет;developer;https://www.cian.ru/sale/flat/307010853/;Москва;sale;flat;22;22;1;37.88;10039996.0;;;14.1;Летово;Эко Бунино ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307010771/;Москва;sale;flat;2;22;1;40.1;9952971.0;;;15;Летово;Эко Бунино ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307009600/;Москва;sale;flat;1;13;1;34.49;9975957.0;Молжаниновский;Северный ао;к6;Новоподрезково;Молжаниново ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307020168/;Москва;sale;flat;1;14;1;49.37;9953041.0;;;6;Рассказовка;Квартал Западный ЖК
