author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Аквилон;developer;https://www.cian.ru/sale/flat/304054704/;Москва;sale;flat;8;23;-1;28.7;7873070.0;Отрадное;Сигнальный проезд;12;Владыкино;Akvilon Signal
Самолет;developer;https://www.cian.ru/sale/flat/307187906/;Москва;sale;flat;20;22;1;24.3;7864104.0;;;14.1;Летово;Эко Бунино ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307009503/;Москва;sale;flat;6;16;1;26.57;7850744.0;Молжаниновский;Северный ао;к4;Новоподрезково;Молжаниново ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307321694/;Москва;sale;flat;5;10;1;25.43;7873400.0;;;к18;Рассказовка;Новое Внуково ЖК
А101;developer;https://www.cian.ru/sale/flat/306747082/;Москва;sale;flat;6;8;1;24.5;7899658.0;;;к3.4;Бунинская аллея;Бунинские Кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306745755/;Москва;sale;flat;3;9;1;30.0;7879290.0;;;7.1;Улица Горчакова;Бунинские Кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306738439/;Москва;sale;flat;6;14;1;22.9;7877637.0;;;25.1;Бунинская аллея;Скандинавия ЖК
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/307207674/;Москва;sale;flat;4;19;1;27.6;7889670.0;;;;Филатов Луг;Первый Московский ЖК
;;https://www.cian.ru/sale/flat/294904269/;Москва;sale;flat;7;18;-1;24.3;7897500.0;Останкинский;Березовая аллея;19к3;Ботанический сад;Апарт-комплекс Легендарный квартал
ПИК;developer;https://www.cian.ru/sale/flat/306685263/;Москва;sale;flat;25;32;1;23.7;7939168.0;Митино;Северо-Западный ао;2.2;Пятницкое шоссе;Митинский Лес ЖК
ПИК;developer;https://www.cian.ru/sale/flat/306255586/;Москва;sale;flat;18;32;1;25.4;7984235.0;Митино;Северо-Западный ао;2.2;Пятницкое шоссе;Митинский Лес ЖК
ПИК;developer;https://www.cian.ru/sale/flat/305377700/;Москва;sale;flat;15;17;1;20.1;7986493.0;Люблино;14.2;14.2;Братиславская;Люблинский парк ЖК
ПИК;developer;https://www.cian.ru/sale/flat/305378397/;Москва;sale;flat;33;33;1;20.1;7997830.0;Люблино;14.1;14.1;Братиславская;Люблинский парк ЖК
